178.184.167.230 - - [08/Oct/2021:05:22:38 +0300] "GET /index.php HTTP/1.0" 404 5268 "https://licey.stop.cash/index.php" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
178.184.167.230 - - [08/Oct/2021:05:22:39 +0300] "GET / HTTP/1.0" 301 178 "https://geckonhd.net/" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
178.184.167.230 - - [08/Oct/2021:05:22:39 +0300] "GET / HTTP/1.0" 200 114889 "https://licey.stop.cash/" "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.72 Safari/537.36"
64.62.197.92 - - [08/Oct/2021:05:37:49 +0300] "GET / HTTP/1.1" 301 178 "-" "-"
140.205.109.51 - - [08/Oct/2021:05:46:57 +0300] "GET /qrmenud/static/css/pagination.css HTTP/1.1" 404 1268 "https://licey.stop.cash/" "YisouSpider"
34.126.159.33 - - [08/Oct/2021:05:48:41 +0300] "GET / HTTP/1.1" 301 178 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
34.126.159.33 - - [08/Oct/2021:05:48:42 +0300] "" 400 0 "-" "-"
34.126.159.33 - - [08/Oct/2021:05:48:45 +0300] "GET / HTTP/1.1" 200 114889 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
34.126.159.33 - - [08/Oct/2021:05:48:45 +0300] "GET //wp-includes/wlwmanifest.xml HTTP/1.1" 404 5322 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
34.126.159.33 - - [08/Oct/2021:05:48:46 +0300] "GET //xmlrpc.php?rsd HTTP/1.1" 404 5275 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
34.126.159.33 - - [08/Oct/2021:05:48:46 +0300] "GET / HTTP/1.1" 200 114889 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
34.126.159.33 - - [08/Oct/2021:05:48:47 +0300] "GET //blog/wp-includes/wlwmanifest.xml HTTP/1.1" 404 5337 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
34.126.159.33 - - [08/Oct/2021:05:48:47 +0300] "GET //web/wp-includes/wlwmanifest.xml HTTP/1.1" 404 5334 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
34.126.159.33 - - [08/Oct/2021:05:48:47 +0300] "GET //wordpress/wp-includes/wlwmanifest.xml HTTP/1.1" 404 5352 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
34.126.159.33 - - [08/Oct/2021:05:48:48 +0300] "GET //website/wp-includes/wlwmanifest.xml HTTP/1.1" 404 5346 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
34.126.159.33 - - [08/Oct/2021:05:48:48 +0300] "GET //wp/wp-includes/wlwmanifest.xml HTTP/1.1" 404 5331 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
34.126.159.33 - - [08/Oct/2021:05:48:48 +0300] "GET //news/wp-includes/wlwmanifest.xml HTTP/1.1" 404 5337 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
34.126.159.33 - - [08/Oct/2021:05:48:48 +0300] "GET //2018/wp-includes/wlwmanifest.xml HTTP/1.1" 404 5337 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
34.126.159.33 - - [08/Oct/2021:05:48:49 +0300] "GET //2019/wp-includes/wlwmanifest.xml HTTP/1.1" 404 5337 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
34.126.159.33 - - [08/Oct/2021:05:48:49 +0300] "GET //shop/wp-includes/wlwmanifest.xml HTTP/1.1" 404 5337 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
34.126.159.33 - - [08/Oct/2021:05:48:49 +0300] "GET //wp1/wp-includes/wlwmanifest.xml HTTP/1.1" 404 5334 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
34.126.159.33 - - [08/Oct/2021:05:48:50 +0300] "GET //test/wp-includes/wlwmanifest.xml HTTP/1.1" 404 5337 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
34.126.159.33 - - [08/Oct/2021:05:48:50 +0300] "GET //media/wp-includes/wlwmanifest.xml HTTP/1.1" 404 564 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
34.126.159.33 - - [08/Oct/2021:05:48:50 +0300] "GET //wp2/wp-includes/wlwmanifest.xml HTTP/1.1" 404 5334 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
